Player,Team,Opponent,Line,Expected_FGA,Model_Prob,Pick,Edge,Volatility,Confidence_Score,Date,Match_Date,Actual FGA,Result,Actual Value,Prop Category,Player Name
GG Jackson,MEM,UTA,14.5,7.02,0.573,Under,-7.48,3.13,239.0,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,GG Jackson
Brandon Williams,DAL,MIN,14.5,8.18,0.534,Under,-6.32,3.52,179.4,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Brandon Williams
Donovan Mitchell,CLE,CHA,19.5,6.97,0.798,Under,-12.53,8.49,147.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Donovan Mitchell
Deni Avdija,POR,DEN,15.5,8.3,0.69,Under,-7.2,5.77,124.7,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Deni Avdija
Brice Sensabaugh,UTA,MEM,15.5,11.25,0.472,Under,-4.25,3.54,120.1,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Brice Sensabaugh
Kon Knueppel,CHA,CLE,14.5,11.59,0.533,Under,-2.91,2.47,117.7,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Kon Knueppel
Jalen Johnson,ATL,MIA,18.5,10.43,0.639,Under,-8.07,9.0,89.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Jalen Johnson
Ace Bailey,UTA,MEM,16.5,11.99,0.59,Under,-4.51,5.06,89.2,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Ace Bailey
Jarace Walker,IND,WAS,14.5,11.18,0.324,Under,-3.32,3.81,87.2,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Jarace Walker
Kawhi Leonard,LAC,LAL,21.5,16.25,0.581,Under,-5.25,7.43,70.7,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Kawhi Leonard
Julius Randle,MIN,DAL,14.5,16.49,0.499,Over,1.99,3.45,57.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Julius Randle
Norman Powell,MIA,ATL,15.5,12.25,0.565,Under,-3.25,5.7,57.1,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Norman Powell
Brandon Miller,CHA,CLE,20.5,17.66,0.543,Under,-2.84,5.31,53.5,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Brandon Miller
Anthony Edwards,MIN,DAL,20.5,16.9,0.516,Under,-3.6,7.66,47.0,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Anthony Edwards
Bam Adebayo,MIA,ATL,14.5,15.34,0.518,Over,0.84,2.69,31.3,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Bam Adebayo
James Harden,CLE,CHA,14.5,12.64,0.664,Under,-1.86,6.36,29.2,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,James Harden
LeBron James,LAL,LAC,14.5,12.64,0.649,Under,-1.86,6.51,28.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,LeBron James
CJ McCollum,ATL,MIA,15.5,14.52,0.6,Under,-0.98,4.58,21.3,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,CJ McCollum
Jamal Murray,DEN,POR,18.5,16.94,0.524,Under,-1.56,7.56,20.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Jamal Murray
Zion Williamson,NOP,MIL,14.5,13.77,0.576,Under,-0.73,4.04,18.0,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Zion Williamson
LaMelo Ball,CHA,CLE,17.5,17.9,0.378,Over,0.4,3.75,10.6,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,LaMelo Ball
Ryan Rollins,MIL,NOP,16.5,16.2,0.212,Under,-0.3,3.47,8.7,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Ryan Rollins
Saddiq Bey,NOP,MIL,15.5,15.55,0.664,Over,0.05,3.68,1.3,2026-02-21,2026-02-21,None,Pending / Not Found,None,FGA,Saddiq Bey
